keys,en,pt_BR
PAUSE_TITLE,PAUSED,PAUSADO
PAUSE_SUBTITLE,the process resumes when you say so,o processo continua quando você mandar
PAUSE_STATE,RUN STATE FROZEN,EXECUÇÃO CONGELADA
PAUSE_RESUME,Resume,Continuar
PAUSE_RESTART,Restart,Reiniciar
PAUSE_TERMINAL,Terminal,Terminal
PAUSE_ABANDON,Abandon process,Abandonar processo
PAUSE_ABANDON_ARMED,Press again to abandon,Aperte de novo para abandonar
STAT_CYCLE,CYCLE,CICLO
STAT_SCORE,SCORE,PONTUAÇÃO
STAT_CHAIN,CHAIN,CADEIA
STAT_INTEGRITY,INTEGRITY,INTEGRIDADE
STAT_CYCLES,CYCLES,CICLOS
STAT_DAEMONS_PURGED,DAEMONS PURGED,DAEMONS ELIMINADOS
STAT_UPTIME,UPTIME,TEMPO
STAT_ACCURACY,ACCURACY,PRECISÃO
STAT_STAGE_SCORE,STAGE SCORE,PONTUAÇÃO DA FASE
STAT_STAGE_BEST,STAGE BEST,MELHOR DA FASE
AUDIO_SFX,SFX,SFX
AUDIO_MUSIC,MUSIC,MÚSICA
OVER_TITLE,PROCESS TERMINATED,PROCESSO ENCERRADO
OVER_TERMINATED_BY,terminated by {0},encerrado por {0}
OVER_NEW_RECORD,NEW RECORD,NOVO RECORDE
OVER_REBOOT,Reboot,Reiniciar
OVER_ABANDON,Abandon process,Voltar ao menu
OVER_CORE_DUMP,CORE DUMP,CORE DUMP
VICTORY_TITLE,STAGE CLEARED,FASE CONCLUÍDA
VICTORY_NEXT_STAGE,Next stage,Próxima fase
VICTORY_RETURN,Return to menu,Voltar ao menu
VICTORY_STORY_SELECT,Story select,Seleção de fases
AWARDS_HEADER,ACHIEVEMENTS // {0} / {1} UNLOCKED,CONQUISTAS // {0} / {1} DESBLOQUEADAS
TAGLINE,last process standing,o último processo de pé
SCROLL_HINT_TOUCH,SWIPE TO SCROLL,ARRASTE PARA ROLAR
SCROLL_HINT_POINTER,SCROLL // MOUSE WHEEL,ROLE // RODA DO MOUSE
MENU_PURGE,PURGE,PURGE
MENU_STORY,Story,História
MENU_ARCHIVES,Archives,Arquivos
MENU_CONFIGURE,Configure run,Configurar partida
MENU_ACTIVE_PROGRAM,ACTIVE PROGRAM,PROGRAMA ATIVO
MENU_SWAP,Swap,Trocar
MENU_START,Start,Iniciar
MENU_SETTINGS,Settings,Configurações
MENU_AWARDS,Awards,Conquistas
MENU_QUIT,Quit,Sair
MENU_NO_RECORD,NO RECORD YET,SEM RECORDE AINDA
MENU_BEST,BEST,RECORDE
MODE_CLASSIC,CLASSIC,CLÁSSICO
MODE_WEEKLY,WEEKLY,SEMANAL
MODE_ONEHP,ONE-HP,UM-HP
MODE_STORY,STORY,HISTÓRIA
DIFF_EASY,EASY,FÁCIL
DIFF_NORMAL,NORMAL,NORMAL
DIFF_HARD,HARD,DIFÍCIL
BESTIARY_THREAT_LEVEL,THREAT LEVEL,NÍVEL DE AMEAÇA
BESTIARY_LOCKED,PURGE THIS PROCESS TO REVEAL,ELIMINE ESTE PROCESSO PARA REVELAR
BESTIARY_BEHAVIOR,BEHAVIOR,COMPORTAMENTO
BESTIARY_BUG_REPORT,BUG REPORT,RELATÓRIO DE BUG
